"","hashed_userid","masked_username","location","following","followers","totaltweets","usercreateddt","tweetid","tweetcreatedts","retweetcount","text","hashtags","language","favorite_count","is_retweet","original_tweet_id","in_reply_to_status_id","is_quote_status","quoted_status_id","extractedts"
2565,89717789593653947677,"********0941444","",334,34,8200,"2021-12-19",1543398322572070914,"2022-07-03 00:56:49.000000",38,"Americans are paying for Joe Biden’s war on American energy this #FourthofJuly weekend. https://t.co/EprH85S4vp","[{'text': 'FourthofJuly', 'indices': [65, 78]}]","en",0,True,1543397863111024640,0,False,0,"2022-07-03 04:36:17.259283"
2566,9735209106803586750,"******nomics","MOON",63,183,172,"2022-05-24",1543398328335048704,"2022-07-03 00:56:51.000000",1,"Happy #FourthofJulyWeekend 🇺🇸 Have fun &amp; stay safe🥰 -@MrsTinyCBunny

#BSC #BSCGems https://t.co/Aj8Pz6qa2C","[{'text': 'FourthofJulyWeekend', 'indices': [6, 26]}, {'text': 'BSC', 'indices': [73, 77]}, {'text': 'BSCGems', 'indices': [78, 86]}]","en",3,False,0,0,False,0,"2022-07-03 13:36:56.170223"
2567,34760378476654986729,"****News","Kuala Lumpur, Malaysia ",4,1231,20312,"2021-01-05",1543398339567267842,"2022-07-03 00:56:53.000000",0,"Palestinians hand bullet that killed Al Jazeera journalist to US

#MalaysiaNow #News #FlashNews #Palestine #AlJazeera #America 

https://t.co/4YRFHbMZcc","[{'text': 'MalaysiaNow', 'indices': [66, 78]}, {'text': 'News', 'indices': [79, 84]}, {'text': 'FlashNews', 'indices': [85, 95]}, {'text': 'Palestine', 'indices': [96, 106]}, {'text': 'AlJazeera', 'indices': [107, 117]}, {'text': 'America', 'indices': [118, 126]}]","en",0,False,0,0,False,0,"2022-07-03 04:06:05.057458"
2568,21334756004891460061,"****igan","404",2824,511,32884,"2020-06-02",1543398344617238528,"2022-07-03 00:56:54.000000",62,"Young evangelicals, remember that:

1. America isn’t perfect now and her past sins are grievous

2. In God’s grace America has helped tons

3. American religious liberty is UNPRECEDENTED

4. We must preach Christ to America

5. We fight for and thank God for America

#4thOfJuly","[{'text': '4thOfJuly', 'indices': [268, 278]}]","en",0,True,1543283244598272000,0,False,0,"2022-07-03 04:36:17.232506"
2569,81073910734893421067,"******sfast","Chicago",2666,793,9053,"2013-01-25",1543398350145421314,"2022-07-03 00:56:56.000000",0,"@MoeWiener living the dream in Mn #dogsoftwitter #dachshund #4thOfJuly https://t.co/O6Q0HnLK0d","[{'text': 'dogsoftwitter', 'indices': [34, 48]}, {'text': 'dachshund', 'indices': [49, 59]}, {'text': '4thOfJuly', 'indices': [60, 70]}]","en",1,False,0,0,False,0,"2022-07-03 13:36:56.158522"
2570,50828094142256407074,"******ounge","",65,431,4030,"2009-11-23",1543398363667759105,"2022-07-03 00:56:59.000000",0,"#4thOfJuly Deal! Buy One Get One 50% Off All #Shijin bottles.

Come into any Vapor Lounge location for great service and better prices. https://t.co/ZnO30DXfsr","[{'text': '4thOfJuly', 'indices': [0, 10]}, {'text': 'Shijin', 'indices': [45, 52]}]","en",0,False,0,0,False,0,"2022-07-03 13:36:56.146733"
2571,56806564225581809473,"*******SmuckyT","MOON",48,27,2134,"2021-04-03",1543398372350087170,"2022-07-03 00:57:01.000000",1,"Happy #FourthofJulyWeekend 🇺🇸 Have fun &amp; stay safe🥰 -@MrsTinyCBunny

#BSC #BSCGems https://t.co/Aj8Pz6qa2C","[{'text': 'FourthofJulyWeekend', 'indices': [6, 26]}, {'text': 'BSC', 'indices': [73, 77]}, {'text': 'BSCGems', 'indices': [78, 86]}]","en",0,True,1543398328335048704,0,False,0,"2022-07-03 04:36:17.196027"
2572,77184846157008084926,"********mer2728","Baltimore, MD",582,449,25925,"2015-10-29",1543398388909088768,"2022-07-03 00:57:05.000000",0,"@wilson6923 NEW #ARIZONA #ELECTIONFRAUD #Election2020 REVEALED - #JovanPulitzer Presentation starts at 1:14 showing #Evidence
puts it all together shows exactly how they stole 2020
#AMERICA HAS BEEN HIJACKED! What Are YOU Going To Do About It?  https://t.co/lnfkh6hgtG","[{'text': 'ARIZONA', 'indices': [16, 24]}, {'text': 'ELECTIONFRAUD', 'indices': [25, 39]}, {'text': 'Election2020', 'indices': [40, 53]}, {'text': 'JovanPulitzer', 'indices': [65, 79]}, {'text': 'Evidence', 'indices': [116, 125]}, {'text': 'AMERICA', 'indices': [181, 189]}]","en",0,False,0,1543394502185992192,False,0,"2022-07-03 04:06:05.014897"
2573,91734439354720394557,"****iss","Northern California",1492,538,41582,"2008-12-20",1543398390645399552,"2022-07-03 00:57:05.000000",0,"It would be a real shame if folks heard about this and didn't want to visit #Orlando anymore.

City of Orlando 'Regrets' Impact of #Fireworks Promo Saying People 'Probably Don't Want to Celebrate' #USA and 'Can’t Blame Them' https://t.co/TKObJEw6xm via @mediaite","[{'text': 'Orlando', 'indices': [76, 84]}, {'text': 'Fireworks', 'indices': [131, 141]}, {'text': 'USA', 'indices': [197, 201]}]","en",0,False,0,0,False,0,"2022-07-03 04:06:05.002457"
2574,69135861123730184698,"*******Crypto","United Kingdom",1738,1280,26195,"2020-12-30",1543398400720310276,"2022-07-03 00:57:08.000000",0,"It’s gonna be a good day when that nugget of info is tweeted out. @Twitter #TwitterTips #4thOfJuly @elonmusk https://t.co/3cLFi8ScFJ","[{'text': 'TwitterTips', 'indices': [75, 87]}, {'text': '4thOfJuly', 'indices': [88, 98]}]","en",1,False,0,0,True,1542288896603525120,"2022-07-03 13:36:56.134783"
